5	00:10:20	BREAST	2015-06-08
3	00:10:26	BUTTERFLY	2015-06-09
15	00:10:38	BUTTERFLY	2015-06-10
1	00:10:44	BACK	2015-06-11
1	00:05:03	BREAST	2015-06-12
5	00:05:15	BACK	2015-06-13
2	00:05:21	BACK	2015-06-14
2	00:05:27	BREAST	2015-06-15
10	00:05:33	CRAWL	2016-06-12
20	00:05:39	BUTTERFLY	2016-06-13
4	00:05:45	BACK	2016-06-14
15	00:05:51	CRAWL	2016-06-15
7	00:05:57	BREAST	2016-06-16
6	00:06:03	BACK	2016-06-17
9	00:08:07	BREAST	2016-06-18
2	00:08:19	BUTTERFLY	2016-06-19
13	00:08:31	BUTTERFLY	2016-06-20
12	00:08:43	CRAWL	2016-06-21
15	00:08:55	BACK	2016-06-22
8	00:10:05	BUTTERFLY	2016-06-23
7	00:10:11	BACK	2001-06-17
11	00:10:17	BREAST	2001-06-18
9	00:10:23	CRAWL	2001-06-19
11	00:10:29	BUTTERFLY	2001-06-20
5	00:10:35	CRAWL	2001-06-21
13	00:10:41	CRAWL	2001-06-22
1	00:10:47	BUTTERFLY	2001-06-23
